Date,Description,Amount,Balance
2026-01-15,CITYWIDE PAYROLL,5500.0,7300.0
2026-01-16,EMPLOYER DIRECT DEP,3500.0,10800.0
2026-01-03,DEMO HOME LOAN PAYMENT,-2700.0,8100.0
2026-01-08,DEMO AUTO LOAN 1 PAYMENT,-726.0,7374.0
2026-01-08,DEMO AUTO LOAN 2 PAYMENT,-591.0,6783.0
2026-01-18,ELECTRIC BILL,-128.0,6655.0
2026-01-20,WATER BILL,-60.0,6595.0
2026-01-22,INTERNET SERVICE,-80.0,6515.0
2026-01-19,SHELL GAS,-65.0,6450.0
2026-01-21,BP GAS STATION,-72.0,6378.0
2026-01-26,DEMO CREDIT 1 PAYMENT,-600.0,5778.0
2026-01-27,DEMO CREDIT 2 PAYMENT,-450.0,5328.0
2026-01-28,DEMO CREDIT 3 PAYMENT,-350.0,4978.0
2026-02-15,CITYWIDE PAYROLL,5500.0,10478.0
2026-02-16,EMPLOYER DIRECT DEP,3500.0,13978.0
2026-02-03,DEMO HOME LOAN PAYMENT,-2700.0,11278.0
2026-02-08,DEMO AUTO LOAN 1 PAYMENT,-726.0,10552.0
2026-02-08,DEMO AUTO LOAN 2 PAYMENT,-591.0,9961.0
2026-02-18,ELECTRIC BILL,-132.0,9829.0
2026-02-20,WATER BILL,-58.0,9771.0
2026-02-22,INTERNET SERVICE,-80.0,9691.0
2026-02-19,CHEVRON,-68.0,9623.0
2026-02-23,MOBIL,-75.0,9548.0
2026-02-25,DEMO CREDIT 1 PAYMENT,-600.0,8948.0
2026-02-26,DEMO CREDIT 2 PAYMENT,-450.0,8498.0
2026-02-27,DEMO CREDIT 3 PAYMENT,-350.0,8148.0
